Quantum 1,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 15 ,0,0,0,0,0
Router 16 ,0,0,0,0,0
Router 17 ,0,0,0,0,161
Router 18 ,0,0,0,0,0
Router 19 ,0,0,0,0,0
Router 20 ,0,0,0,0,110
Router 21 ,142,0,0,0,17
Router 22 ,161,0,0,0,0
Router 23 ,144,0,0,0,0
Router 24 ,0,0,0,0,0
Router 25 ,0,0,0,0,161
Router 26 ,0,0,0,0,0
Router 27 ,0,0,0,0,0
Router 28 ,0,0,0,0,94
Router 29 ,0,0,0,0,159
Router 30 ,0,0,0,0,161
Router 31 ,143,0,0,0,144
Router 32 ,0,14,0,0,0
Router 33 ,0,30,0,0,161
Router 34 ,0,46,0,0,0
Router 35 ,0,62,0,0,0
Router 36 ,0,0,0,0,78
Router 37 ,0,0,0,0,159
Router 38 ,0,0,0,0,161
Router 39 ,0,0,0,0,302
Router 40 ,0,113,0,0,0
Router 41 ,0,113,95,0,161
Router 42 ,0,159,0,0,0
Router 43 ,0,159,0,0,0
Router 44 ,0,159,0,0,0
Router 45 ,0,0,0,0,159
Router 46 ,0,0,0,0,161
Router 47 ,0,0,0,0,302
Router 48 ,0,18,0,0,2
Router 49 ,0,18,18,0,161
Router 50 ,0,161,161,0,0
Router 51 ,0,161,161,0,0
Router 52 ,0,161,157,0,0
Router 53 ,0,161,143,0,0
Router 54 ,0,0,143,0,161
Router 55 ,0,0,0,0,302
Router 56 ,0,16,0,0,0
Router 57 ,0,17,16,0,0
Router 58 ,0,159,0,0,0
Router 59 ,0,302,0,0,0
Router 60 ,0,302,0,0,0
Router 61 ,0,302,0,0,0
Router 62 ,0,302,0,0,0
Router 63 ,0,0,0,0,302
Quantum 11,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,0,0,0,0,0
Router 4 ,0,0,0,0,0
Router 5 ,0,0,0,0,0
Router 6 ,0,0,0,0,0
Router 7 ,0,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,124,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,0
Router 12 ,0,0,0,0,0
Router 13 ,161,0,0,0,0
Router 14 ,1,0,0,0,0
Router 15 ,1,0,0,0,0
Router 16 ,0,0,0,0,0
Router 17 ,0,0,0,0,108
Router 18 ,0,0,0,0,0
Router 19 ,0,0,0,0,0
Router 20 ,0,0,0,0,0
Router 21 ,0,0,0,0,161
Router 22 ,124,0,0,0,17
Router 23 ,142,0,0,0,2
Router 24 ,0,0,0,0,0
Router 25 ,0,0,0,0,92
Router 26 ,0,0,0,0,0
Router 27 ,0,0,0,0,0
Router 28 ,0,0,0,0,0
Router 29 ,0,0,0,0,161
Router 30 ,0,0,0,0,141
Router 31 ,0,0,0,0,159
Router 32 ,0,0,0,0,0
Router 33 ,0,0,0,0,76
Router 34 ,0,0,0,0,0
Router 35 ,0,0,0,0,0
Router 36 ,0,0,0,0,0
Router 37 ,0,0,0,0,161
Router 38 ,0,0,0,0,141
Router 39 ,0,0,0,0,159
Router 40 ,0,18,0,0,0
Router 41 ,0,161,0,0,60
Router 42 ,0,161,0,0,0
Router 43 ,0,161,0,0,0
Router 44 ,0,161,0,0,0
Router 45 ,0,0,0,0,161
Router 46 ,0,0,0,0,141
Router 47 ,0,0,0,0,159
Router 48 ,0,141,0,0,18
Router 49 ,0,141,91,0,44
Router 50 ,0,141,28,0,0
Router 51 ,0,141,12,0,0
Router 52 ,0,141,0,0,0
Router 53 ,0,141,0,0,0
Router 54 ,0,0,0,0,141
Router 55 ,0,0,0,0,159
Router 56 ,0,111,0,0,34
Router 57 ,0,127,95,0,0
Router 58 ,0,144,0,0,0
Router 59 ,0,159,0,0,0
Router 60 ,0,159,0,0,0
Router 61 ,0,159,0,0,0
Router 62 ,0,159,0,0,0
Router 63 ,0,0,0,0,159
Quantum 12,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,0,0,0,0,0
Router 4 ,0,0,0,0,0
Router 5 ,0,0,0,0,0
Router 6 ,1,0,0,0,0
Router 7 ,1,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,0,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,0
Router 12 ,0,0,0,0,0
Router 13 ,124,0,0,0,0
Router 14 ,142,0,0,0,17
Router 15 ,142,0,0,0,17
Router 16 ,0,0,0,0,0
Router 17 ,0,0,0,0,0
Router 18 ,0,0,0,0,0
Router 19 ,0,0,0,0,0
Router 20 ,0,0,0,0,0
Router 21 ,0,0,0,0,108
Router 22 ,0,0,0,0,159
Router 23 ,0,0,0,0,174
Router 24 ,0,0,0,0,0
Router 25 ,0,0,0,0,0
Router 26 ,0,0,0,0,0
Router 27 ,0,0,0,0,0
Router 28 ,0,0,0,0,0
Router 29 ,0,0,0,0,92
Router 30 ,0,0,0,0,159
Router 31 ,0,0,0,0,174
Router 32 ,0,0,0,0,0
Router 33 ,0,0,0,0,0
Router 34 ,0,0,0,0,0
Router 35 ,0,0,0,0,0
Router 36 ,0,0,0,0,0
Router 37 ,0,0,0,0,76
Router 38 ,0,0,0,0,159
Router 39 ,0,0,0,0,174
Router 40 ,0,157,0,0,0
Router 41 ,0,157,0,0,0
Router 42 ,0,157,0,0,0
Router 43 ,0,157,0,0,0
Router 44 ,0,157,0,0,0
Router 45 ,0,97,0,0,60
Router 46 ,0,0,0,0,159
Router 47 ,0,0,0,0,174
Router 48 ,0,109,0,0,107
Router 49 ,0,175,0,0,0
Router 50 ,0,175,0,0,0
Router 51 ,0,175,0,0,0
Router 52 ,0,175,0,0,0
Router 53 ,0,175,0,0,0
Router 54 ,0,113,0,0,62
Router 55 ,0,0,0,0,174
Router 56 ,0,0,0,0,93
Router 57 ,0,112,0,0,0
Router 58 ,0,96,0,0,0
Router 59 ,0,80,0,0,0
Router 60 ,0,80,0,0,0
Router 61 ,0,79,0,0,0
Router 62 ,0,78,0,0,0
Router 63 ,0,0,0,0,77
Quantum 13,,,,,
Routers , LOCAL , EAST , WEST , NORTH , SOUTH 
Router 0 ,0,0,0,0,0
Router 1 ,0,0,0,0,0
Router 2 ,0,0,0,0,0
Router 3 ,0,0,0,0,0
Router 4 ,0,0,0,0,0
Router 5 ,1,0,0,0,0
Router 6 ,143,0,0,0,0
Router 7 ,143,0,0,0,0
Router 8 ,0,0,0,0,0
Router 9 ,0,0,0,0,0
Router 10 ,0,0,0,0,0
Router 11 ,0,0,0,0,0
Router 12 ,0,0,0,0,0
